Nome: RECIFE (CURADO)
2021-04-06;null;null;null;null;null;null;null;null;
2021-04-07;null;null;null;null;null;null;null;null;
2021-04-08;null;null;null;null;null;null;null;null;
2021-04-09;null;null;null;null;null;null;null;null;
2021-04-10;null;null;null;null;null;null;null;null;
2021-04-11;null;null;null;null;null;null;null;null;
2021-04-12;null;null;null;null;null;null;null;null;
2021-04-13;null;null;null;null;null;null;null;null;
2021-04-14;null;null;null;null;null;null;null;null;
2021-04-15;null;null;null;null;null;null;null;null;
2021-04-16;null;null;null;null;null;null;null;null;
2021-04-17;null;null;null;null;null;null;null;null;
2021-04-18;null;null;null;null;null;null;null;null;
2021-04-19;null;null;null;null;null;null;null;null;
2021-04-20;null;null;null;null;null;null;null;null;
2021-04-21;null;null;null;null;null;null;null;null;
2021-04-22;null;null;null;null;null;null;null;null;
2021-04-23;null;null;null;null;null;null;null;null;
2021-04-24;null;null;null;null;null;null;null;null;
2021-04-25;null;null;null;null;null;null;null;null;
2021-04-26;null;null;null;null;null;null;null;null;
2021-04-27;null;null;null;null;null;null;null;null;
2021-04-28;null;null;null;null;null;null;null;null;
2021-04-29;null;null;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;null;null;
2021-05-01;null;null;null;null;null;null;null;null;
2021-05-02;null;null;null;null;null;null;null;null;
2021-05-03;null;null;null;null;null;null;null;null;
2021-05-04;null;null;null;null;null;null;null;null;
2021-05-05;null;null;null;null;null;null;null;null;
2021-05-06;null;null;null;null;null;null;null;null;
2021-05-07;null;null;null;null;null;null;null;null;
2021-05-08;null;null;null;null;null;null;null;null;
2021-05-09;null;null;null;null;null;null;null;null;
2021-05-10;null;null;null;null;null;null;null;null;
2021-05-11;null;null;null;null;null;null;null;null;
2021-05-12;null;null;45,7;30,2;25,24;18,8;null;,77166;
2021-05-13;null;null;94,3;25,3;23,18;19,2;null;2,82942;
2021-05-14;null;null;null;27,3;null;null;null;1,02888;
2021-05-15;null;null;1;null;null;22;null;1,54332;
2021-05-16;null;null;null;null;null;null;null;null;
2021-05-17;null;null;0;30;25,56;21,4;null;1,54332;
2021-05-18;null;5,2;0;29,7;25,74;22,8;null;5,1444;
2021-05-19;null;null;0;28;24,92;22,8;null;1,54332;
2021-05-20;null;null;0;null;null;21;null;,51444;
2021-05-21;null;null;6,8;30,2;25,7;20,7;null;2,82942;
2021-05-22;null;null;,2;null;null;20,2;null;2,05776;
2021-05-23;null;null;null;null;null;null;null;null;
2021-05-24;null;null;,4;30,2;25,62;20,3;null;2,5722;
2021-05-25;null;null;0;30,8;25,52;20;null;1,54332;
2021-05-26;null;null;null;null;null;null;null;null;
2021-05-27;null;null;null;null;null;null;null;null;
2021-05-28;null;null;null;null;null;null;null;null;
2021-05-29;null;null;null;null;null;null;null;null;
2021-05-30;null;null;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;null;null;
2021-06-01;null;null;null;null;null;null;null;null;
2021-06-02;null;null;null;null;null;null;null;null;
2021-06-03;null;null;null;null;null;null;null;null;
2021-06-04;null;null;null;null;null;null;null;null;
2021-06-05;null;null;null;null;null;null;null;null;
2021-06-06;null;null;null;null;null;null;null;null;
2021-06-07;null;null;null;null;null;null;null;null;
2021-06-08;null;null;null;null;null;null;null;null;
2021-06-09;null;null;null;null;null;null;null;null;
2021-06-10;null;null;null;null;null;null;null;null;
2021-06-11;null;null;null;null;null;null;null;null;
2021-06-12;null;null;null;null;null;null;null;null;
2021-06-13;null;null;null;null;null;null;null;null;
2021-06-14;null;null;null;null;null;null;null;null;
2021-06-15;null;null;null;null;null;null;null;null;
2021-06-16;null;null;null;null;null;null;null;null;
2021-06-17;null;null;null;null;null;null;null;null;
2021-06-18;null;null;null;null;null;null;null;null;
2021-06-19;null;null;null;null;null;null;null;null;
2021-06-20;null;null;null;null;null;null;null;null;
2021-06-21;null;null;null;null;null;null;null;null;
2021-06-22;null;null;null;null;null;null;null;null;
2021-06-23;null;null;null;null;null;null;null;null;
2021-06-24;null;null;null;null;null;null;null;null;
2021-06-25;null;null;null;null;null;null;null;null;
2021-06-26;null;null;null;null;null;null;null;null;
2021-06-27;null;null;null;null;null;null;null;null;
2021-06-28;null;null;null;null;null;null;null;null;
2021-06-29;null;null;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;null;null;
2021-07-01;null;null;null;null;null;null;null;null;
2021-07-02;null;null;null;null;null;null;null;null;
2021-07-03;null;null;null;null;null;null;null;null;
2021-07-04;null;null;null;null;null;null;null;null;
2021-07-05;null;null;null;null;null;null;null;null;
2021-07-06;null;null;null;null;null;null;null;null;
2021-07-07;null;null;null;null;null;null;null;null;
2021-07-08;null;null;null;null;null;null;null;null;
2021-07-09;null;null;null;null;null;null;null;null;
2021-07-10;null;null;null;null;null;null;null;null;
2021-07-11;null;null;null;null;null;null;null;null;
2021-07-12;null;null;null;null;null;null;null;null;
2021-07-13;null;null;null;null;null;null;null;null;
2021-07-14;null;null;null;null;null;null;null;null;
2021-07-15;null;null;null;null;null;null;null;null;
2021-07-16;null;null;null;null;null;null;null;null;
2021-07-17;null;null;null;null;null;null;null;null;
2021-07-18;null;null;null;null;null;null;null;null;
2021-07-19;null;null;null;null;null;null;null;null;
2021-07-20;null;null;null;null;null;null;null;null;
2021-07-21;null;null;null;null;null;null;null;null;
2021-07-22;null;null;null;null;null;null;null;null;
2021-07-23;null;null;null;null;null;null;null;null;
2021-07-24;null;null;null;null;null;null;null;null;
2021-07-25;null;null;null;null;null;null;null;null;
2021-07-26;null;null;null;null;null;null;null;null;
2021-07-27;null;null;null;null;null;null;null;null;
2021-07-28;null;null;null;null;null;null;null;null;
2021-07-29;null;null;null;null;null;null;null;null;
2021-07-30;null;null;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;null;null;
2021-08-01;null;null;null;null;null;null;null;null;
2021-08-02;null;null;null;null;null;null;null;null;
2021-08-03;null;null;null;null;null;null;null;null;
2021-08-04;null;null;null;null;null;null;null;null;
2021-08-05;null;null;null;null;null;null;null;null;
2021-08-06;null;null;null;null;null;null;null;null;
2021-08-07;null;null;null;null;null;null;null;null;
2021-08-08;null;null;null;null;null;null;null;null;
2021-08-09;null;null;null;null;null;null;null;null;
2021-08-10;null;null;null;null;null;null;null;null;
2021-08-11;null;null;null;null;null;null;null;null;
2021-08-12;null;null;null;null;null;null;null;null;
2021-08-13;null;null;null;null;null;null;null;null;
2021-08-14;null;null;null;null;null;null;null;null;
2021-08-15;null;null;null;null;null;null;null;null;
2021-08-16;null;null;null;null;null;null;null;null;
2021-08-17;null;null;null;null;null;null;null;null;
2021-08-18;null;null;null;null;null;null;null;null;
2021-08-19;null;null;null;null;null;null;null;null;
2021-08-20;null;null;null;null;null;null;null;null;
2021-08-21;null;null;null;null;null;null;null;null;
2021-08-22;null;null;null;null;null;null;null;null;
2021-08-23;null;null;null;null;null;null;null;null;
2021-08-24;null;null;null;null;null;null;null;null;
2021-08-25;null;null;null;null;null;null;null;null;
2021-08-26;null;null;null;null;null;null;null;null;
2021-08-27;null;null;null;null;null;null;null;null;
2021-08-28;null;null;null;null;null;null;null;null;
2021-08-29;null;null;null;null;null;null;null;null;
2021-08-30;null;null;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;null;null;
2021-09-01;null;null;null;null;null;null;null;null;
2021-09-02;null;null;null;null;null;null;null;null;
2021-09-03;null;null;null;null;null;null;null;null;
2021-09-04;null;null;null;null;null;null;null;null;
2021-09-05;null;null;null;null;null;null;null;null;
2021-09-06;null;null;null;null;null;null;null;null;
2021-09-07;null;null;null;null;null;null;null;null;
2021-09-08;null;null;null;null;null;null;null;null;
2021-09-09;null;null;null;null;null;null;null;null;
2021-09-10;null;null;null;null;null;null;null;null;
2021-09-11;null;null;null;null;null;null;null;null;
2021-09-12;null;null;null;null;null;null;null;null;
2021-09-13;null;null;null;null;null;null;null;null;
2021-09-14;null;null;null;null;null;null;null;null;
2021-09-15;null;null;null;null;null;null;null;null;
2021-09-16;null;null;null;null;null;null;null;null;
2021-09-17;null;null;null;null;null;null;null;null;
2021-09-18;null;null;null;null;null;null;null;null;
2021-09-19;null;null;null;null;null;null;null;null;
2021-09-20;null;null;null;null;null;null;null;null;
2021-09-21;null;null;null;null;null;null;null;null;
2021-09-22;null;null;null;null;null;null;null;null;
2021-09-23;null;null;null;null;null;null;null;null;
2021-09-24;null;null;null;null;null;null;null;null;
2021-09-25;null;null;null;null;null;null;null;null;
2021-09-26;null;null;null;null;null;null;null;null;
2021-09-27;null;null;null;null;null;null;null;null;
2021-09-28;null;null;null;null;null;null;null;null;
2021-09-29;null;null;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;null;null;
2021-10-01;null;null;null;null;null;null;null;null;
2021-10-02;null;null;null;null;null;null;null;null;
2021-10-03;null;null;null;null;null;null;null;null;
2021-10-04;null;null;null;null;null;null;null;null;
2021-10-05;null;null;null;null;null;null;null;null;
2021-10-06;null;null;null;null;null;null;null;null;
2021-10-07;null;null;null;null;null;null;null;null;
2021-10-08;null;null;null;null;null;null;null;null;
2021-10-09;null;null;null;null;null;null;null;null;
2021-10-10;null;null;null;null;null;null;null;null;
2021-10-11;null;null;null;null;null;null;null;null;
2021-10-12;null;null;null;null;null;null;null;null;
2021-10-13;null;null;null;null;null;null;null;null;
2021-10-14;null;null;null;null;null;null;null;null;
2021-10-15;null;null;null;null;null;null;null;null;
2021-10-16;null;null;null;null;null;null;null;null;
2021-10-17;null;null;null;null;null;null;null;null;
2021-10-18;null;null;null;null;null;null;null;null;
2021-10-19;null;null;null;null;null;null;null;null;
2021-10-20;null;null;null;null;null;null;null;null;
2021-10-21;null;null;null;null;null;null;null;null;
2021-10-22;null;null;null;null;null;null;null;null;
2021-10-23;null;null;null;null;null;null;null;null;
2021-10-24;null;null;null;null;null;null;null;null;
2021-10-25;null;null;null;null;null;null;null;null;
2021-10-26;null;null;null;null;null;null;null;null;
2021-10-27;null;null;null;null;null;null;null;null;
2021-10-28;null;null;null;null;null;null;null;null;
2021-10-29;null;null;null;null;null;null;null;null;
2021-10-30;null;null;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;null;null;
2021-11-01;null;null;null;null;null;null;null;null;
2021-11-02;null;null;null;null;null;null;null;null;
2021-11-03;null;null;null;null;null;null;null;null;
2021-11-04;null;null;null;null;null;null;null;null;
2021-11-05;null;null;null;null;null;null;null;null;
2021-11-06;null;null;null;null;null;null;null;null;
2021-11-07;null;null;null;null;null;null;null;null;
2021-11-08;null;null;null;null;null;null;null;null;
2021-11-09;null;null;null;null;null;null;null;null;
2021-11-10;null;null;null;null;null;null;null;null;
2021-11-11;null;null;null;null;null;null;null;null;
2021-11-12;null;null;null;null;null;null;null;null;
2021-11-13;null;null;null;null;null;null;null;null;
2021-11-14;null;null;null;null;null;null;null;null;
2021-11-15;null;null;null;null;null;null;null;null;
2021-11-16;null;null;null;null;null;null;null;null;
2021-11-17;null;null;null;null;null;null;null;null;
2021-11-18;null;null;null;null;null;null;null;null;
2021-11-19;null;null;null;null;null;null;null;null;
2021-11-20;null;null;null;null;null;null;null;null;
2021-11-21;null;null;null;null;null;null;null;null;
2021-11-22;null;null;null;null;null;null;null;null;
2021-11-23;null;null;null;null;null;null;null;null;
2021-11-24;null;null;null;null;null;null;null;null;
2021-11-25;null;null;null;null;null;null;null;null;
2021-11-26;null;null;null;null;null;null;null;null;
2021-11-27;null;null;null;null;null;null;null;null;
2021-11-28;null;null;null;null;null;null;null;null;
2021-11-29;null;null;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;null;null;
2021-12-01;null;null;null;null;null;null;null;null;
2021-12-02;null;null;null;null;null;null;null;null;
2021-12-03;null;null;null;null;null;null;null;null;
2021-12-04;null;null;null;null;null;null;null;null;
2021-12-05;null;null;null;null;null;null;null;null;
2021-12-06;null;null;null;null;null;null;null;null;
2021-12-07;null;null;null;null;null;null;null;null;
2021-12-08;null;null;null;null;null;null;null;null;
2021-12-09;null;null;null;null;null;null;null;null;
2021-12-10;null;null;null;null;null;null;null;null;
2021-12-11;null;null;null;null;null;null;null;null;
2021-12-12;null;null;null;null;null;null;null;null;
2021-12-13;null;null;null;null;null;null;null;null;
2021-12-14;null;null;null;null;null;null;null;null;
2021-12-15;null;null;null;null;null;null;null;null;
2021-12-16;null;null;null;null;null;null;null;null;
2021-12-17;null;null;null;null;null;null;null;null;
2021-12-18;null;null;null;null;null;null;null;null;
2021-12-19;null;null;null;null;null;null;null;null;
2021-12-20;null;null;null;null;null;null;null;null;
2021-12-21;null;null;null;null;null;null;null;null;
2021-12-22;null;null;null;null;null;null;null;null;
2021-12-23;null;null;null;null;null;null;null;null;
2021-12-24;null;null;null;null;null;null;null;null;
2021-12-25;null;null;null;null;null;null;null;null;
2021-12-26;null;null;null;null;null;null;null;null;
2021-12-27;null;null;null;null;null;null;null;null;
2021-12-28;null;null;null;null;null;null;null;null;
2021-12-29;null;null;null;null;null;null;null;null;
2021-12-30;null;null;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;null;null;
2022-01-01;null;null;null;null;null;null;null;null;
2022-01-02;null;null;null;null;null;null;null;null;
2022-01-03;null;null;null;null;null;null;null;null;
2022-01-04;null;null;null;null;null;null;null;null;
2022-01-05;null;null;null;null;null;null;null;null;
2022-01-06;null;null;null;null;null;null;null;null;
2022-01-07;null;null;null;null;null;null;null;null;
2022-01-08;null;null;null;null;null;null;null;null;
2022-01-09;null;null;null;null;null;null;null;null;
2022-01-10;null;null;null;null;null;null;null;null;
2022-01-11;null;null;null;null;null;null;null;null;
2022-01-12;null;null;null;null;null;null;null;null;
2022-01-13;null;null;null;null;null;null;null;null;
2022-01-14;null;null;null;null;null;null;null;null;
2022-01-15;null;null;null;null;null;null;null;null;
2022-01-16;null;null;null;null;null;null;null;null;
2022-01-17;null;null;null;null;null;null;null;null;
2022-01-18;null;null;null;null;null;null;null;null;
2022-01-19;null;null;null;null;null;null;null;null;
2022-01-20;null;null;null;null;null;null;null;null;
2022-01-21;null;null;null;null;null;null;null;null;
2022-01-22;null;null;null;null;null;null;null;null;
2022-01-23;null;null;null;null;null;null;null;null;
2022-01-24;null;null;null;null;null;null;null;null;
2022-01-25;null;null;null;null;null;null;null;null;
2022-01-26;null;null;null;null;null;null;null;null;
2022-01-27;null;null;null;null;null;null;null;null;
2022-01-28;null;null;null;null;null;null;null;null;
2022-01-29;null;null;null;null;null;null;null;null;
2022-01-30;null;null;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;null;null;
2022-02-01;null;null;null;null;null;null;null;null;
2022-02-02;null;null;null;null;null;null;null;null;
2022-02-03;null;null;null;null;null;null;null;null;
2022-02-04;null;null;null;null;null;null;null;null;
2022-02-05;null;null;null;null;null;null;null;null;
2022-02-06;null;null;null;null;null;null;null;null;
2022-02-07;null;null;null;null;null;null;null;null;
2022-02-08;null;null;null;null;null;null;null;null;
2022-02-09;null;null;null;null;null;null;null;null;
2022-02-10;null;null;null;null;null;null;null;null;
2022-02-11;null;null;null;null;null;null;null;null;
2022-02-12;null;null;null;null;null;null;null;null;
2022-02-13;null;null;null;null;null;null;null;null;
2022-02-14;null;null;null;null;null;null;null;null;
2022-02-15;null;null;null;null;null;null;null;null;
2022-02-16;null;null;null;null;null;null;null;null;
2022-02-17;null;null;null;null;null;null;null;null;
2022-02-18;null;null;null;null;null;null;null;null;
2022-02-19;null;null;null;null;null;null;null;null;
2022-02-20;null;null;null;null;null;null;null;null;
2022-02-21;null;null;null;null;null;null;null;null;
2022-02-22;null;null;null;null;null;null;null;null;
2022-02-23;null;null;null;null;null;null;null;null;
2022-02-24;null;null;null;null;null;null;null;null;
2022-02-25;null;null;null;null;null;null;null;null;
2022-02-26;null;null;null;null;null;null;null;null;
2022-02-27;null;null;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;null;null;
2022-03-01;null;null;null;null;null;null;null;null;
2022-03-02;null;null;null;null;null;null;null;null;
2022-03-03;null;null;null;null;null;null;null;null;
2022-03-04;null;null;null;null;null;null;null;null;
2022-03-05;null;null;null;null;null;null;null;null;
2022-03-06;null;null;null;null;null;null;null;null;
2022-03-07;null;null;null;null;null;null;null;null;
2022-03-08;null;null;null;null;null;null;null;null;
2022-03-09;null;null;null;null;null;null;null;null;
2022-03-10;null;null;null;null;null;null;null;null;
2022-03-11;null;null;null;null;null;null;null;null;
2022-03-12;null;null;null;null;null;null;null;null;
2022-03-13;null;null;null;null;null;null;null;null;
2022-03-14;null;null;null;null;null;null;null;null;
2022-03-15;null;null;null;null;null;null;null;null;
2022-03-16;null;null;null;null;null;null;null;null;
2022-03-17;null;null;null;null;null;null;null;null;

